Orthogroup	acastellanii_braker	vvermcdc19_braker
OG0000360	acastellanii_g13402.t1	vverm_g2755.t1, vverm_g8084.t1, vverm_g7993.t1, vverm_g10091.t1
OG0000361	acastellanii_g12470.t1	vverm_g8404.t1
OG0000361	acastellanii_g13039.t1, acastellanii_g11380.t1	vverm_g16239.t1, vverm_g16239.t2
OG0000362	acastellanii_g1131.t1, acastellanii_g529.t1, acastellanii_g5621.t1, acastellanii_g5604.t1, acastellanii_g10924.t1, acastellanii_g10924.t2, acastellanii_g1475.t1, acastellanii_g11978.t1, acastellanii_g2841.t1, acastellanii_g2636.t1	vverm_g9150.t1
OG0000363	acastellanii_g8363.t1	vverm_g8048.t1
OG0000363	acastellanii_g11620.t5, acastellanii_g11620.t1, acastellanii_g11620.t3, acastellanii_g11620.t4, acastellanii_g11620.t2	vverm_g5653.t2, vverm_g5653.t1
OG0000364	acastellanii_g3719.t1	vverm_g7829.t1
OG0000364	acastellanii_g11509.t1, acastellanii_g539.t1	vverm_g13782.t1
OG0000364	acastellanii_g4641.t1	vverm_g10184.t1
OG0000365	acastellanii_g10426.t1, acastellanii_g11414.t2, acastellanii_g11414.t1	vverm_g8711.t1, vverm_g7495.t1, vverm_g1628.t1, vverm_g12441.t1, vverm_g12441.t2
OG0000367	acastellanii_g10499.t1, acastellanii_g9934.t1, acastellanii_g9935.t1	vverm_g1474.t1, vverm_g1474.t2, vverm_g9023.t1, vverm_g7211.t1, vverm_g2415.t2, vverm_g2415.t1
OG0000368	acastellanii_g9703.t1, acastellanii_g9703.t2, acastellanii_g6726.t2, acastellanii_g6726.t1	vverm_g2728.t1, vverm_g6074.t1
OG0000369	acastellanii_g1518.t1	vverm_g12598.t1
OG0000369	acastellanii_g8865.t1, acastellanii_g8869.t1, acastellanii_g8866.t1, acastellanii_g8867.t1, acastellanii_g8870.t1, acastellanii_g8875.t1	vverm_g13342.t1
OG0000370	acastellanii_g8606.t3, acastellanii_g8606.t2, acastellanii_g8606.t1	vverm_g7851.t1, vverm_g237.t1
OG0000371	acastellanii_g7584.t1, acastellanii_g2283.t1, acastellanii_g2283.t2, acastellanii_g6121.t1	vverm_g2580.t1, vverm_g4528.t1, vverm_g45.t1
OG0000372	acastellanii_g295.t3, acastellanii_g295.t1, acastellanii_g3613.t1, acastellanii_g3611.t1, acastellanii_g295.t2, acastellanii_g3612.t1	vverm_g15131.t1, vverm_g2194.t1, vverm_g16662.t1
OG0000393	acastellanii_g3357.t1	vverm_g4089.t3
OG0000393	acastellanii_g12575.t2, acastellanii_g12575.t1	vverm_g8143.t1, vverm_g8143.t2
OG0000395	acastellanii_g13166.t1	vverm_g1620.t1, vverm_g3177.t1, vverm_g8810.t1, vverm_g4332.t1, vverm_g11419.t1, vverm_g10388.t1, vverm_g15769.t1, vverm_g979.t1, vverm_g11323.t1
OG0000396	acastellanii_g8447.t1	vverm_g12719.t1
OG0000396	acastellanii_g536.t1	vverm_g8923.t1
OG0000397	acastellanii_g8104.t2, acastellanii_g8104.t1	vverm_g11248.t1
OG0000397	acastellanii_g12282.t1, acastellanii_g9831.t1, acastellanii_g4935.t1	vverm_g6646.t1
OG0000398	acastellanii_g10614.t1, acastellanii_g10614.t2	vverm_g15569.t3, vverm_g15569.t1, vverm_g15569.t2
OG0000398	acastellanii_g5147.t1	vverm_g15956.t1
OG0000399	acastellanii_g567.t2, acastellanii_g567.t1	vverm_g15360.t1
OG0000399	acastellanii_g444.t1	vverm_g2512.t1
OG0000400	acastellanii_g2481.t1, acastellanii_g2482.t1, acastellanii_g1688.t1	vverm_g16723.t1
OG0000400	acastellanii_g4234.t1, acastellanii_g10265.t1	vverm_g6520.t2, vverm_g6520.t1, vverm_g6522.t1, vverm_g6519.t1
OG0000402	acastellanii_g7349.t1	vverm_g9149.t1
OG0000402	acastellanii_g10069.t1	vverm_g11780.t1, vverm_g2093.t1, vverm_g14884.t1
OG0000403	acastellanii_g3438.t1, acastellanii_g1378.t1, acastellanii_g10207.t1	vverm_g356.t1, vverm_g14276.t1
OG0000403	acastellanii_g2483.t1	vverm_g13801.t1
OG0000404	acastellanii_g8328.t1, acastellanii_g8328.t2	vverm_g6355.t1, vverm_g7677.t1
OG0000404	acastellanii_g9880.t1, acastellanii_g9880.t2	vverm_g13382.t2, vverm_g13382.t1
OG0000405	acastellanii_g2100.t2, acastellanii_g2100.t1, acastellanii_g8563.t1, acastellanii_g7269.t1, acastellanii_g5979.t1	vverm_g3836.t1, vverm_g3830.t1, vverm_g15283.t1, vverm_g6819.t1
OG0000406	acastellanii_g7626.t1	vverm_g16777.t1, vverm_g13289.t1
OG0000406	acastellanii_g29.t1, acastellanii_g441.t1	vverm_g16588.t1, vverm_g16588.t2, vverm_g16588.t3
OG0000407	acastellanii_g5377.t2, acastellanii_g5377.t1, acastellanii_g6716.t1, acastellanii_g6717.t1, acastellanii_g6713.t2, acastellanii_g6713.t1	vverm_g7486.t2, vverm_g7486.t1
