Orthogroup	vvermcdc19_braker	acastellanii_braker
OG0000372	vverm_g15131.t1, vverm_g2194.t1, vverm_g16662.t1	acastellanii_g295.t3, acastellanii_g295.t1, acastellanii_g3613.t1, acastellanii_g3611.t1, acastellanii_g295.t2, acastellanii_g3612.t1
OG0000393	vverm_g4089.t3	acastellanii_g3357.t1
OG0000393	vverm_g8143.t1, vverm_g8143.t2	acastellanii_g12575.t2, acastellanii_g12575.t1
OG0000395	vverm_g1620.t1, vverm_g3177.t1, vverm_g8810.t1, vverm_g4332.t1, vverm_g11419.t1, vverm_g10388.t1, vverm_g15769.t1, vverm_g979.t1, vverm_g11323.t1	acastellanii_g13166.t1
OG0000396	vverm_g12719.t1	acastellanii_g8447.t1
OG0000396	vverm_g8923.t1	acastellanii_g536.t1
OG0000397	vverm_g11248.t1	acastellanii_g8104.t2, acastellanii_g8104.t1
OG0000397	vverm_g6646.t1	acastellanii_g12282.t1, acastellanii_g9831.t1, acastellanii_g4935.t1
OG0000398	vverm_g15569.t3, vverm_g15569.t1, vverm_g15569.t2	acastellanii_g10614.t1, acastellanii_g10614.t2
OG0000398	vverm_g15956.t1	acastellanii_g5147.t1
OG0000399	vverm_g15360.t1	acastellanii_g567.t2, acastellanii_g567.t1
OG0000399	vverm_g2512.t1	acastellanii_g444.t1
OG0000400	vverm_g16723.t1	acastellanii_g2481.t1, acastellanii_g2482.t1, acastellanii_g1688.t1
OG0000400	vverm_g6520.t2, vverm_g6520.t1, vverm_g6522.t1, vverm_g6519.t1	acastellanii_g4234.t1, acastellanii_g10265.t1
OG0000402	vverm_g9149.t1	acastellanii_g7349.t1
OG0000402	vverm_g11780.t1, vverm_g2093.t1, vverm_g14884.t1	acastellanii_g10069.t1
OG0000403	vverm_g356.t1, vverm_g14276.t1	acastellanii_g3438.t1, acastellanii_g1378.t1, acastellanii_g10207.t1
OG0000403	vverm_g13801.t1	acastellanii_g2483.t1
OG0000404	vverm_g6355.t1, vverm_g7677.t1	acastellanii_g8328.t1, acastellanii_g8328.t2
OG0000404	vverm_g13382.t2, vverm_g13382.t1	acastellanii_g9880.t1, acastellanii_g9880.t2
OG0000405	vverm_g3836.t1, vverm_g3830.t1, vverm_g15283.t1, vverm_g6819.t1	acastellanii_g2100.t2, acastellanii_g2100.t1, acastellanii_g8563.t1, acastellanii_g7269.t1, acastellanii_g5979.t1
OG0000406	vverm_g16777.t1, vverm_g13289.t1	acastellanii_g7626.t1
OG0000406	vverm_g16588.t1, vverm_g16588.t2, vverm_g16588.t3	acastellanii_g29.t1, acastellanii_g441.t1
OG0000407	vverm_g7486.t2, vverm_g7486.t1	acastellanii_g5377.t2, acastellanii_g5377.t1, acastellanii_g6716.t1, acastellanii_g6717.t1, acastellanii_g6713.t2, acastellanii_g6713.t1
